"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Germany","2012","Total","Both Sexes","Salzgitter","City proper","Estimate - de jure","Final figure, complete","2012","101750",""
"Germany","2012","Total","Both Sexes","Siegen","City proper","Estimate - de jure","Final figure, complete","2012","103370",""
"Germany","2012","Total","Both Sexes","Solingen","City proper","Estimate - de jure","Final figure, complete","2012","159699",""
"Germany","2012","Total","Both Sexes","Stuttgart","City proper","Estimate - de jure","Final figure, complete","2012","613392",""
"Germany","2012","Total","Both Sexes","Trier","City proper","Estimate - de jure","Final figure, complete","2012","105675",""
"Germany","2012","Total","Both Sexes","Ulm","City proper","Estimate - de jure","Final figure, complete","2012","123672",""
"Germany","2012","Total","Both Sexes","Wiesbaden","City proper","Estimate - de jure","Final figure, complete","2012","278919",""
"Germany","2012","Total","Both Sexes","Wolfsburg","City proper","Estimate - de jure","Final figure, complete","2012","122583",""
"Germany","2012","Total","Both Sexes","Wuppertal","City proper","Estimate - de jure","Final figure, complete","2012","349470",""
"Germany","2012","Total","Both Sexes","Würzburg","City proper","Estimate - de jure","Final figure, complete","2012","133808",""
"Germany","2012","Total","Male","Aachen","City proper","Estimate - de jure","Final figure, complete","2012","134998",""
"Germany","2012","Total","Male","Augsburg","City proper","Estimate - de jure","Final figure, complete","2012","129743",""
"Germany","2012","Total","Male","Bergisch Gladbach","City proper","Estimate - de jure","Final figure, complete","2012","50958",""
"Germany","2012","Total","Male","BERLIN","City proper","Estimate - de jure","Final figure, complete","2012","1717645",""
"Germany","2012","Total","Male","Bielefeld","City proper","Estimate - de jure","Final figure, complete","2012","154922",""
"Germany","2012","Total","Male","Bochum","City proper","Estimate - de jure","Final figure, complete","2012","182585",""
"Germany","2012","Total","Male","Bonn","City proper","Estimate - de jure","Final figure, complete","2012","157518",""
"Germany","2012","Total","Male","Bottrop","City proper","Estimate - de jure","Final figure, complete","2012","56170",""
"Germany","2012","Total","Male","Braunschweig","City proper","Estimate - de jure","Final figure, complete","2012","123934",""
"Germany","2012","Total","Male","Bremen","City proper","Estimate - de jure","Final figure, complete","2012","266554",""
"Germany","2012","Total","Male","Bremerhaven","City proper","Estimate - de jure","Final figure, complete","2012","56223",""
"Germany","2012","Total","Male","Chemnitz","City proper","Estimate - de jure","Final figure, complete","2012","117404",""
"Germany","2012","Total","Male","Cottbus","City proper","Estimate - de jure","Final figure, complete","2012","50338",""
"Germany","2012","Total","Male","Darmstadt","City proper","Estimate - de jure","Final figure, complete","2012","75293",""
"Germany","2012","Total","Male","Dortmund","City proper","Estimate - de jure","Final figure, complete","2012","285444",""
"Germany","2012","Total","Male","Dresden","City proper","Estimate - de jure","Final figure, complete","2012","260936",""
"Germany","2012","Total","Male","Duisburg","City proper","Estimate - de jure","Final figure, complete","2012","239730",""
"Germany","2012","Total","Male","Düsseldorf","City proper","Estimate - de jure","Final figure, complete","2012","282408",""
