Country or Area,Year,Area,Sex,City,State,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,Total,Both Sexes,Irvine ,California,City proper,Estimate - de jure,"Final figure, complete",2014,229985,"1,2"
United States of America,2012,Total,Both Sexes,Irving ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,225427,"1,2"
United States of America,2012,Total,Both Sexes,Jackson ,Mississippi,City proper,Estimate - de jure,"Final figure, complete",2014,175437,"1,2"
United States of America,2012,Total,Both Sexes,Jacksonville ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,836507,"1,2"
United States of America,2012,Total,Both Sexes,Jersey City ,New Jersey,City proper,Estimate - de jure,"Final figure, complete",2014,254441,"1,2"
United States of America,2012,Total,Both Sexes,Joliet ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,148268,"1,2"
United States of America,2012,Total,Both Sexes,Kansas City ,Kansas,City proper,Estimate - de jure,"Final figure, complete",2014,147268,"1,2"
United States of America,2012,Total,Both Sexes,Kansas City ,Missouri,City proper,Estimate - de jure,"Final figure, complete",2014,464310,"1,2"
United States of America,2012,Total,Both Sexes,Killeen ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,134654,"1,2"
United States of America,2012,Total,Both Sexes,Knoxville ,Tennessee,City proper,Estimate - de jure,"Final figure, complete",2014,182200,"1,2"
United States of America,2012,Total,Both Sexes,Lafayette ,Louisiana,City proper,Estimate - de jure,"Final figure, complete",2014,122761,"1,2"
United States of America,2012,Total,Both Sexes,Lakewood ,Colorado,City proper,Estimate - de jure,"Final figure, complete",2014,145516,"1,2"
United States of America,2012,Total,Both Sexes,Lancaster ,California,City proper,Estimate - de jure,"Final figure, complete",2014,159055,"1,2"
United States of America,2012,Total,Both Sexes,Lansing ,Michigan,City proper,Estimate - de jure,"Final figure, complete",2014,113996,"1,2"
United States of America,2012,Total,Both Sexes,Laredo ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,244731,"1,2"
United States of America,2012,Total,Both Sexes,Las Vegas ,Nevada,City proper,Estimate - de jure,"Final figure, complete",2014,596424,"1,2"
United States of America,2012,Total,Both Sexes,Lexington-Fayette ,Kentucky,City proper,Estimate - de jure,"Final figure, complete",2014,305489,"1,2"
United States of America,2012,Total,Both Sexes,Lincoln ,Nebraska,City proper,Estimate - de jure,"Final figure, complete",2014,265404,"1,2"
United States of America,2012,Total,Both Sexes,Little Rock ,Arkansas,City proper,Estimate - de jure,"Final figure, complete",2014,196537,"1,2"
United States of America,2012,Total,Both Sexes,Long Beach ,California,City proper,Estimate - de jure,"Final figure, complete",2014,467892,"1,2"
United States of America,2012,Total,Both Sexes,Los Angeles ,California,City proper,Estimate - de jure,"Final figure, complete",2014,3857799,"1,2"
United States of America,2012,Total,Both Sexes,Louisville ,Kentucky,City proper,Estimate - de jure,"Final figure, complete",2014,605110,"1,2"
United States of America,2012,Total,Both Sexes,Lowell ,Massachusetts,City proper,Estimate - de jure,"Final figure, complete",2014,108522,"1,2"
United States of America,2012,Total,Both Sexes,Lubbock ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,236065,"1,2"
United States of America,2012,Total,Both Sexes,Madison ,Wisconsin,City proper,Estimate - de jure,"Final figure, complete",2014,240323,"1,2"
United States of America,2012,Total,Both Sexes,Manchester ,New Hampshire,City proper,Estimate - de jure,"Final figure, complete",2014,110209,"1,2"
United States of America,2012,Total,Both Sexes,McAllen ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,134719,"1,2"
United States of America,2012,Total,Both Sexes,McKinney City ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,143223,"1,2"
United States of America,2012,Total,Both Sexes,Memphis ,Tennessee,City proper,Estimate - de jure,"Final figure, complete",2014,655155,"1,2"
United States of America,2012,Total,Both Sexes,Mesa ,Arizona,City proper,Estimate - de jure,"Final figure, complete",2014,452084,"1,2"
United States of America,2012,Total,Both Sexes,Mesquite ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,143195,"1,2"
United States of America,2012,Total,Both Sexes,Miami ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,413892,"1,2"
United States of America,2012,Total,Both Sexes,Miami Gardens ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,110754,"1,2"
